CVE-2005-4676,Candidate,"Buffer overflow in Andreas Huggel Exiv2 before 0.9 does not null terminate strings before calling the sscanf function, which allows remote attackers to cause a denial of service (application crash) via images with crafted IPTC metadata.","BID:16400   |   URL:http://www.securityfocus.com/bid/16400   |   CONFIRM:http://home.arcor.de/ahuggel/exiv2/changelog.html   |   MISC:http://dev.robotbattle.com/mantis/bug_view_advanced_page.php?bug_id=447   |   SECUNIA:18619   |   URL:http://secunia.com/advisories/18619   |   VUPEN:ADV-2006-0345   |   URL:http://www.vupen.com/english/advisories/2006/0345   |   XF:exiv2-iptc-metadata-dos(24349)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/24349",Assigned (20060131),"None (candidate not yet proposed)",""
CVE-2007-6353,Candidate,"Integer overflow in exif.cpp in exiv2 library allows context-dependent attackers to execute arbitrary code via a crafted EXIF file that triggers a heap-based buffer overflow.","BID:26918   |   URL:http://www.securityfocus.com/bid/26918   |   CONFIRM:https://bugzilla.redhat.com/show_bug.cgi?id=425921   |   DEBIAN:DSA-1474   |   URL:http://www.debian.org/security/2008/dsa-1474   |   FEDORA:FEDORA-2007-4551   |   URL:https://www.redhat.com/archives/fedora-package-announce/2007-December/msg00674.html   |   FEDORA:FEDORA-2007-4591   |   URL:https://www.redhat.com/archives/fedora-package-announce/2007-December/msg00652.html   |   GENTOO:GLSA-200712-16   |   URL:http://security.gentoo.org/glsa/glsa-200712-16.xml   |   MANDRIVA:MDVSA-2008:006   |   URL:http://www.mandriva.com/security/advisories?name=MDVSA-2008:006   |   MISC:http://bugs.gentoo.org/show_bug.cgi?id=202351   |   SECUNIA:28132   |   URL:http://secunia.com/advisories/28132   |   SECUNIA:28178   |   URL:http://secunia.com/advisories/28178   |   SECUNIA:28267   |   URL:http://secunia.com/advisories/28267   |   SECUNIA:28412   |   URL:http://secunia.com/advisories/28412   |   SECUNIA:28610   |   URL:http://secunia.com/advisories/28610   |   SECUNIA:32273   |   URL:http://secunia.com/advisories/32273   |   SUSE:SUSE-SR:2008:001   |   URL:http://lists.opensuse.org/opensuse-security-announce/2008-01/msg00002.html   |   UBUNTU:USN-655-1   |   URL:http://www.ubuntu.com/usn/usn-655-1   |   VUPEN:ADV-2007-4252   |   URL:http://www.vupen.com/english/advisories/2007/4252   |   XF:exiv2-setdataarea-bo(39118)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/39118",Assigned (20071214),"None (candidate not yet proposed)",""
CVE-2008-2696,Candidate,"Exiv2 0.16 allows user-assisted remote attackers to cause a denial of service (divide-by-zero and application crash) via a zero value in Nikon lens information in the metadata of an image, related to ""pretty printing"" and the RationalValue::toLong function.","BID:29586   |   URL:http://www.securityfocus.com/bid/29586   |   CONFIRM:http://www.exiv2.org/changelog.html   |   MANDRIVA:MDVSA-2008:119   |   URL:http://www.mandriva.com/security/advisories?name=MDVSA-2008:119   |   MISC:http://bugzilla.gnome.org/show_bug.cgi?id=524715   |   MISC:http://dev.robotbattle.com/bugs/view.php?id=0000546   |   SECUNIA:30519   |   URL:http://secunia.com/advisories/30519   |   SECUNIA:32273   |   URL:http://secunia.com/advisories/32273   |   SUSE:SUSE-SR:2008:023   |   URL:http://lists.opensuse.org/opensuse-security-announce/2008-10/msg00012.html   |   UBUNTU:USN-655-1   |   URL:http://www.ubuntu.com/usn/usn-655-1   |   VUPEN:ADV-2008-1766   |   URL:http://www.vupen.com/english/advisories/2008/1766/references   |   XF:exiv2-printing-dos(42885)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/42885",Assigned (20080613),"None (candidate not yet proposed)",""
CVE-2014-9449,Candidate,"Buffer overflow in the RiffVideo::infoTagsHandler function in riffvideo.cpp in Exiv2 0.24 allows remote attackers to cause a denial of service (crash) via a long IKEY INFO tag value in an AVI file.","BID:71912   |   URL:http://www.securityfocus.com/bid/71912   |   CONFIRM:http://dev.exiv2.org/issues/960   |   CONFIRM:http://dev.exiv2.org/projects/exiv2/repository/diff?rev=3264&rev_to=3263   |   FEDORA:FEDORA-2015-0301   |   URL:http://lists.fedoraproject.org/pipermail/package-announce/2015-January/148382.html   |   GENTOO:GLSA-201507-03   |   URL:https://security.gentoo.org/glsa/201507-03   |   SECUNIA:61801   |   URL:http://secunia.com/advisories/61801   |   UBUNTU:USN-2454-1   |   URL:http://www.ubuntu.com/usn/USN-2454-1",Assigned (20150102),"None (candidate not yet proposed)",""
CVE-2017-1000126,Candidate,"exiv2 0.26 contains a Stack out of bounds read in webp parser","MLIST:[oss-security] 20170630 exiv2: multiple memory safety issues   |   URL:http://www.openwall.com/lists/oss-security/2017/06/30/1",Assigned (20171117),"None (candidate not yet proposed)",""
CVE-2017-1000127,Candidate,"Exiv2 0.26 contains a heap buffer overflow in tiff parser","MLIST:[oss-security] 20170630 exiv2: multiple memory safety issues   |   URL:http://www.openwall.com/lists/oss-security/2017/06/30/1",Assigned (20171117),"None (candidate not yet proposed)",""
CVE-2017-1000128,Candidate,"Exiv2 0.26 contains a stack out of bounds read in JPEG2000 parser","MLIST:[oss-security] 20170630 exiv2: multiple memory safety issues   |   URL:http://www.openwall.com/lists/oss-security/2017/06/30/1",Assigned (20171117),"None (candidate not yet proposed)",""
CVE-2017-11336,Candidate,"There is a heap-based buffer over-read in the Image::printIFDStructure function in image.cpp in Exiv2 0.26. A Crafted input will lead to a remote denial of service attack.","MISC:https://bugzilla.redhat.com/show_bug.cgi?id=1470729",Assigned (20170715),"None (candidate not yet proposed)",""
CVE-2017-11337,Candidate,"There is an invalid free in the Action::TaskFactory::cleanup function of actions.cpp in Exiv2 0.26. A crafted input will lead to a remote denial of service attack.","MISC:https://bugzilla.redhat.com/show_bug.cgi?id=1470737",Assigned (20170715),"None (candidate not yet proposed)",""
CVE-2017-11338,Candidate,"There is an infinite loop in the Exiv2::Image::printIFDStructure function of image.cpp in Exiv2 0.26. A crafted input will lead to a remote denial of service attack.","MISC:https://bugzilla.redhat.com/show_bug.cgi?id=1470913",Assigned (20170715),"None (candidate not yet proposed)",""
CVE-2017-11339,Candidate,"There is a heap-based buffer overflow in the Image::printIFDStructure function of image.cpp in Exiv2 0.26. A Crafted input will lead to a remote denial of service attack.","MISC:https://bugzilla.redhat.com/show_bug.cgi?id=1470946",Assigned (20170715),"None (candidate not yet proposed)",""
CVE-2017-11340,Candidate,"There is a Segmentation fault in the XmpParser::terminate() function in Exiv2 0.26, related to an exit call. A Crafted input will lead to a remote denial of service attack.","MISC:https://bugzilla.redhat.com/show_bug.cgi?id=1470950",Assigned (20170715),"None (candidate not yet proposed)",""
CVE-2017-11553,Candidate,"There is an illegal address access in the extend_alias_table function in localealias.c of Exiv2 0.26. A crafted input will lead to remote denial of service.","MISC:https://bugzilla.redhat.com/show_bug.cgi?id=1471772",Assigned (20170722),"None (candidate not yet proposed)",""
CVE-2017-11591,Candidate,"There is a Floating point exception in the Exiv2::ValueType function in Exiv2 0.26 that will lead to a remote denial of service attack via crafted input.","MISC:https://bugzilla.redhat.com/show_bug.cgi?id=1473888   |   UBUNTU:USN-3852-1   |   URL:https://usn.ubuntu.com/3852-1/",Assigned (20170723),"None (candidate not yet proposed)",""
CVE-2017-11592,Candidate,"There is a Mismatched Memory Management Routines vulnerability in the Exiv2::FileIo::seek function of Exiv2 0.26 that will lead to a remote denial of service attack (heap memory corruption) via crafted input.","MISC:https://bugzilla.redhat.com/show_bug.cgi?id=1473889",Assigned (20170723),"None (candidate not yet proposed)",""
CVE-2017-11683,Candidate,"There is a reachable assertion in the Internal::TiffReader::visitDirectory function in tiffvisitor.cpp of Exiv2 0.26 that will lead to a remote denial of service attack via crafted input.","BID:100030   |   URL:http://www.securityfocus.com/bid/100030   |   MISC:https://bugzilla.redhat.com/show_bug.cgi?id=1475124   |   UBUNTU:USN-3852-1   |   URL:https://usn.ubuntu.com/3852-1/",Assigned (20170726),"None (candidate not yet proposed)",""
CVE-2017-12955,Candidate,"There is a heap-based buffer overflow in basicio.cpp of Exiv2 0.26. The vulnerability causes an out-of-bounds write in Exiv2::Image::printIFDStructure(), which may lead to remote denial of service or possibly unspecified other impact.","MISC:https://bugzilla.redhat.com/show_bug.cgi?id=1482295",Assigned (20170818),"None (candidate not yet proposed)",""
CVE-2017-12956,Candidate,"There is an illegal address access in Exiv2::FileIo::path[abi:cxx11]() in basicio.cpp of libexiv2 in Exiv2 0.26 that will lead to remote denial of service.","MISC:https://bugzilla.redhat.com/show_bug.cgi?id=1482296",Assigned (20170818),"None (candidate not yet proposed)",""
CVE-2017-12957,Candidate,"There is a heap-based buffer over-read in libexiv2 in Exiv2 0.26 that is triggered in the Exiv2::Image::io function in image.cpp. It will lead to remote denial of service.","MISC:https://bugzilla.redhat.com/show_bug.cgi?id=1482423",Assigned (20170818),"None (candidate not yet proposed)",""
CVE-2017-14857,Candidate,"In Exiv2 0.26, there is an invalid free in the Image class in image.cpp that leads to a Segmentation fault. A crafted input will lead to a denial of service attack.","MISC:https://bugzilla.redhat.com/show_bug.cgi?id=1495043",Assigned (20170928),"None (candidate not yet proposed)",""
CVE-2017-14858,Candidate,"There is a heap-based buffer overflow in the Exiv2::l2Data function of types.cpp in Exiv2 0.26. A Crafted input will lead to a denial of service attack.","MISC:https://bugzilla.redhat.com/show_bug.cgi?id=1494782",Assigned (20170928),"None (candidate not yet proposed)",""
CVE-2017-14859,Candidate,"An Invalid memory address dereference was discovered in Exiv2::StringValueBase::read in value.cpp in Exiv2 0.26. The vulnerability causes a segmentation fault and application crash, which leads to denial of service.","MISC:https://bugzilla.redhat.com/show_bug.cgi?id=1494780   |   UBUNTU:USN-3852-1   |   URL:https://usn.ubuntu.com/3852-1/",Assigned (20170928),"None (candidate not yet proposed)",""
CVE-2017-14860,Candidate,"There is a heap-based buffer over-read in the Exiv2::Jp2Image::readMetadata function of jp2image.cpp in Exiv2 0.26. A Crafted input will lead to a denial of service attack.","MISC:https://bugzilla.redhat.com/show_bug.cgi?id=1494776",Assigned (20170928),"None (candidate not yet proposed)",""
CVE-2017-14861,Candidate,"There is a stack consumption vulnerability in the Exiv2::Internal::stringFormat function of image.cpp in Exiv2 0.26. A Crafted input will lead to a remote denial of service attack.","MISC:https://bugzilla.redhat.com/show_bug.cgi?id=1494787",Assigned (20170928),"None (candidate not yet proposed)",""
CVE-2017-14862,Candidate,"An Invalid memory address dereference was discovered in Exiv2::DataValue::read in value.cpp in Exiv2 0.26. The vulnerability causes a segmentation fault and application crash, which leads to denial of service.","MISC:https://bugzilla.redhat.com/show_bug.cgi?id=1494786   |   UBUNTU:USN-3852-1   |   URL:https://usn.ubuntu.com/3852-1/",Assigned (20170928),"None (candidate not yet proposed)",""
CVE-2017-14863,Candidate,"A NULL pointer dereference was discovered in Exiv2::Image::printIFDStructure in image.cpp in Exiv2 0.26. The vulnerability causes a segmentation fault and application crash, which leads to denial of service.","MISC:https://bugzilla.redhat.com/show_bug.cgi?id=1494443",Assigned (20170928),"None (candidate not yet proposed)",""
